record,row,y_mm,valid,A_mm,B_mm,C_mm,D_mm,diag1_M1_M2_mm,diag2_M3_M4_mm,stick_length_mm,P1_x,P1_z,P2_x,P2_z,P3_x,P3_z,P4_x,P4_z,M1_x,M1_z,M2_x,M2_z,M3_x,M3_z,M4_x,M4_z,obj1_angle_deg,obj2_angle_deg,obj3_angle_deg,obj4_angle_deg,obj1_verticality_error_deg,obj2_verticality_error_deg,obj3_verticality_error_deg,obj4_verticality_error_deg,obj1_chamfer_mm,obj2_chamfer_mm,obj3_chamfer_mm,obj4_chamfer_mm,obj1_projection_x_mm,obj1_projection_z_mm,obj2_projection_x_mm,obj2_projection_z_mm,obj3_projection_x_mm,obj3_projection_z_mm,obj4_projection_x_mm,obj4_projection_z_mm,note
slice,2206,41.337348,True,210.643915,103.992456,209.332565,106.384851,232.237324,233.665522,826.40452,210.016307,103.430019,0.640772,-1.152872,-0.619964,105.224508,209.972504,-0.562428,209.323976,102.797514,1.275847,-0.402054,0.164479,104.449555,209.249146,0.127083,89.937617,89.90498,89.986204,89.94372,0.062383,0.09502,0.013796,0.05628,1.785084,1.861031,1.785265,1.845016,1.785,0.017286,1.86,0.06193,1.785,0.030766,1.845,0.007767,
slice,2410,51.317015,True,210.612403,103.983311,209.356746,106.391189,232.244446,233.652488,826.40452,210.008236,103.443257,0.622601,-1.159514,-0.596633,105.224689,209.978431,-0.54005,209.313248,102.818681,1.270526,-0.40781,0.18184,104.453292,209.260355,0.147686,89.935115,89.889555,89.993647,89.966226,0.064885,0.110445,0.006353,0.033774,1.770069,1.890862,1.785224,1.830006,1.77,0.015657,1.89,0.057072,1.785,0.028288,1.83,0.004747,
slice,2614,61.296683,True,210.607983,103.975892,209.365865,106.388404,232.261668,233.629943,826.40452,210.014129,103.446362,0.61342,-1.162542,-0.586393,105.219097,209.978328,-0.529525,209.31698,102.822467,1.258099,-0.410204,0.192757,104.442187,209.254522,0.153508,89.941736,89.911517,89.989174,89.965191,0.058264,0.088483,0.010826,0.034809,1.770018,1.87593,1.785239,1.83003,1.77,0.007924,1.875,0.059067,1.785,0.029219,1.83,0.010503,
slice,2818,71.27635,True,210.575522,103.973771,209.390162,106.399771,232.273335,233.611379,826.40452,210.00045,103.459433,0.598564,-1.168096,-0.567668,105.225283,209.987705,-0.514337,209.306681,102.833386,1.242881,-0.415618,0.215814,104.450827,209.263775,0.176063,89.936243,89.8987,89.977391,89.935801,0.063757,0.1013,0.022609,0.064199,1.770012,1.860873,1.800254,1.845015,1.77,0.006526,1.86,0.05701,1.8,0.030256,1.845,0.007456,
slice,3022,81.256018,True,210.578074,103.967833,209.392937,106.398027,232.280136,233.605734,826.40452,210.010069,103.460749,0.59258,-1.175686,-0.560689,105.21609,209.984449,-0.507081,209.315882,102.832035,1.243491,-0.414958,0.216369,104.439564,209.267213,0.183229,89.949676,89.904058,89.988453,89.945056,0.050324,0.095942,0.011547,0.054944,1.785032,1.89108,1.785165,1.830002,1.785,0.010626,1.89,0.063901,1.785,0.024291,1.83,0.002405,
slice,3226,91.235685,True,210.556007,103.967299,209.413344,106.396586,232.288626,233.593462,826.40452,210.001377,103.472077,0.579044,-1.173163,-0.547396,105.217459,209.991291,-0.495222,209.306668,102.844055,1.231642,-0.416727,0.23863,104.449016,209.27683,0.194824,89.942668,89.903606,89.97882,89.946543,0.057332,0.096394,0.02118,0.053457,1.785031,1.876006,1.800107,1.83,1.785,0.010593,1.875,0.061429,1.8,0.019607,1.83,0.000295,
slice,3430,101.215353,True,210.556632,103.961985,209.413892,106.401091,232.297464,233.587714,826.40452,210.009255,103.471498,0.575058,-1.181463,-0.540169,105.213783,209.98781,-0.490485,209.30785,102.845254,1.226378,-0.422421,0.234083,104.432243,209.27509,0.19656,89.939906,89.901566,89.997098,89.943396,0.060094,0.098434,0.002902,0.056604,1.785013,1.875872,1.800166,1.830001,1.785,0.006883,1.875,0.057177,1.8,0.024431,1.83,0.001752,
slice,3634,111.19502,True,210.543208,103.963431,209.429034,106.401379,232.298243,233.578295,826.40452,210.005321,103.480726,0.566017,-1.17901,-0.53073,105.216716,209.993893,-0.482704,209.308146,102.845554,1.226102,-0.42272,0.245303,104.442227,209.27223,0.199416,89.941811,89.905106,89.992172,89.928658,0.058189,0.094894,0.007828,0.071342,1.785034,1.875884,1.800133,1.830005,1.785,0.011071,1.875,0.057593,1.8,0.021846,1.83,0.004262,
slice,3838,121.174687,True,210.544944,103.957531,209.431179,106.412967,232.315815,233.568146,826.40452,210.012099,103.479402,0.562705,-1.186136,-0.52564,105.221266,209.992688,-0.478127,209.319068,102.84595,1.220572,-0.428702,0.253472,104.444616,209.272845,0.209399,89.942122,89.901316,89.976795,89.916672,0.057878,0.098684,0.023205,0.083328,1.770148,1.875712,1.815139,1.845013,1.77,0.022899,1.875,0.05168,1.815,0.022447,1.845,0.006839,
slice,4042,131.154355,True,210.529116,103.957378,209.447219,106.413595,232.321497,233.564099,826.40452,210.006678,103.489082,0.551636,-1.181552,-0.515267,105.226695,209.99764,-0.468296,209.311371,102.859507,1.208678,-0.419471,0.264586,104.454707,209.277414,0.215435,89.950515,89.903436,89.963863,89.957833,0.049485,0.096564,0.036137,0.042167,1.770078,1.875808,1.815082,1.830005,1.77,0.016581,1.875,0.05504,1.815,0.017273,1.83,0.004142,
slice,4246,141.134022,True,210.537316,103.951003,209.452166,106.406843,232.334364,233.561444,826.40452,210.017126,103.486423,0.54841,-1.1849,-0.51308,105.216648,209.999337,-0.464579,209.321888,102.859493,1.206171,-0.422183,0.259915,104.438061,209.281385,0.222068,89.944451,89.913032,89.981884,89.932008,0.055549,0.086968,0.018116,0.067992,1.785022,1.875896,1.815279,1.845001,1.785,0.008962,1.875,0.057968,1.815,0.031814,1.845,0.001582,
slice,4450,151.11369,True,210.520366,103.954204,209.469924,106.401383,232.331416,233.55999,826.40452,210.011887,103.497445,0.537496,-1.180171,-0.501464,105.216139,210.006171,-0.456759,209.311263,102.870081,1.201249,-0.416459,0.269006,104.439512,209.289415,0.224649,89.949026,89.898072,89.993759,89.943074,0.050974,0.101928,0.006241,0.056926,1.785069,1.890941,1.800163,1.830002,1.785,0.015697,1.89,0.059633,1.8,0.024251,1.83,0.002633,
slice,4654,161.093357,True,210.529745,103.949476,209.474905,106.390266,232.339002,233.552209,826.40452,210.025865,103.496814,0.533189,-1.177372,-0.496927,105.207906,210.00684,-0.45266,209.328104,102.865798,1.205314,-0.412061,0.275872,104.432529,209.294046,0.230624,89.945865,89.91577,89.989251,89.960993,0.054135,0.08423,0.010749,0.039007,1.785044,1.890945,1.800087,1.815002,1.785,0.012546,1.89,0.059782,1.8,0.017664,1.815,0.002816,
slice,4858,171.073025,True,210.515964,103.949522,209.492997,106.384547,232.351149,233.543719,826.40452,210.02388,103.504364,0.526011,-1.17099,-0.485184,105.208751,210.01775,-0.445158,209.326758,102.875115,1.195056,-0.41211,0.28844,104.441141,209.296765,0.238507,89.945935,89.907515,89.978116,89.946837,0.054065,0.092485,0.021884,0.053163,1.77001,1.875897,1.800091,1.830007,1.77,0.006076,1.875,0.057992,1.8,0.018082,1.83,0.005073,
slice,5062,181.052692,True,210.523073,103.949584,209.498287,106.373199,232.362039,233.536342,826.40452,210.03099,103.508269,0.519862,-1.170968,-0.485306,105.197481,210.016879,-0.441314,209.33593,102.873735,1.1891,-0.407504,0.287315,104.431587,209.297217,0.248653,89.939029,89.901603,89.988251,89.948175,0.060971,0.098397,0.011749,0.051825,1.785057,1.890839,1.785043,1.845,1.785,0.014272,1.89,0.056331,1.785,0.012402,1.845,0.000562,
slice,5266,191.032359,True,210.515661,103.950196,209.507038,106.364455,232.371288,233.534906,826.40452,210.031933,103.514877,0.512936,-1.159653,-0.476982,105.200195,210.018722,-0.435318,209.336275,102.884768,1.179034,-0.396295,0.294818,104.434652,209.300136,0.245739,89.940695,89.915474,89.973607,89.962797,0.059305,0.084526,0.026393,0.037203,1.770075,1.890837,1.800067,1.815015,1.77,0.016343,1.89,0.05627,1.8,0.015571,1.815,0.007341,
slice,5470,201.012027,True,210.524717,103.9452,209.511465,106.360849,232.380015,233.523775,826.40452,210.045053,103.516557,0.51018,-1.163569,-0.472991,105.192735,210.020356,-0.42864,209.345785,102.883731,1.182114,-0.404012,0.301402,104.427955,209.301983,0.254492,89.953192,89.905673,89.97502,89.945371,0.046808,0.094327,0.02498,0.054629,1.785093,1.875826,1.800151,1.830002,1.785,0.018225,1.875,0.05567,1.8,0.023333,1.83,0.002497,
slice,5674,210.991694,True,210.507328,103.946422,209.528047,106.354164,232.385158,233.524321,826.40452,210.038916,103.526488,0.500415,-1.154385,-0.461796,105.195427,210.027174,-0.419934,209.340493,102.899728,1.172965,-0.391812,0.306665,104.4333,209.311181,0.266505,89.938811,89.916247,89.977916,89.952702,0.061189,0.083753,0.022084,0.047298,1.785025,1.875804,1.785134,1.830005,1.785,0.009384,1.875,0.054924,1.785,0.021864,1.83,0.004284,
slice,5878,220.971362,True,210.516922,103.948155,209.530216,106.342818,232.403025,233.516724,826.40452,210.050753,103.532102,0.495433,-1.152973,-0.459676,105.185555,210.024353,-0.416049,209.35198,102.900698,1.164207,-0.390237,0.301897,104.416753,209.304309,0.262768,89.951522,89.911239,89.974924,89.975724,0.048478,0.088761,0.025076,0.024276,1.770008,1.890951,1.785271,1.815006,1.77,0.005427,1.89,0.059969,1.785,0.031112,1.815,0.004697,
